2025-04-08 14:30:49 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:30:51 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:31:06 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 76ms | Status: 401
2025-04-08 14:56:09 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 66ms | Status: 401
2025-04-08 14:56:49 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 129ms | Status: 200
2025-04-08 14:56:50 | GET /js/login.js | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 14:59:30 | GET /js/login_.js | Controller: Unknown | User: Anonymous | Duration: 1ms | Status: 404
2025-04-08 15:00:26 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 79ms | Status: 200
2025-04-08 15:04:47 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 75ms | Status: 200
2025-04-08 15:07:20 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 78ms | Status: 200
2025-04-08 15:10:53 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 77ms | Status: 200
2025-04-08 15:12:05 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-08 15:12:25 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 74ms | Status: 200
2025-04-08 15:12:25 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 8ms | Status: 401
2025-04-08 15:27:10 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 84ms | Status: 200
2025-04-08 15:27:10 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-08 15:29:31 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 82ms | Status: 200
2025-04-08 15:29:31 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 14ms | Status: 200
2025-04-08 15:32:14 | GET / | Controller: Unknown | User: Anonymous | Duration: 1ms | Status: 404
2025-04-08 15:33:06 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 76ms | Status: 200
2025-04-08 15:33:06 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 21ms | Status: 200
2025-04-08 15:37:25 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 84ms | Status: 200
2025-04-08 15:37:25 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 16ms | Status: 200
2025-04-08 15:37:56 | GET / | Controller: Unknown | User: Anonymous | Duration: 2ms | Status: 404
2025-04-08 15:38:31 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 97ms | Status: 200
2025-04-08 15:38:31 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 19ms | Status: 200
2025-04-08 15:38:54 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 22ms | Status: 200
2025-04-08 15:38:54 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 18ms | Status: 200
2025-04-08 15:39:09 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 21ms | Status: 200
2025-04-08 15:39:10 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 18ms | Status: 200
2025-04-09 01:57:05 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 75ms | Status: 200
2025-04-09 01:57:05 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 16ms | Status: 200
2025-04-09 02:02:53 | GET /User/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 29ms | Status: 401
2025-04-09 02:07:15 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 40ms | Status: 200
2025-04-09 02:07:15 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 14ms | Status: 200
2025-04-09 02:07:56 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 8ms | Status: 200
2025-04-09 02:08:33 | GET /User | Controller: Project.Controllers.UserController.Get (Project) | User: Anonymous | Duration: 19ms | Status: 200
2025-04-09 02:09:34 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-09 02:09:45 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 10ms | Status: 200
2025-04-09 02:09:45 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 10ms | Status: 200
2025-04-09 02:12:24 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 12ms | Status: 200
2025-04-09 02:12:24 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 15ms | Status: 200
2025-04-09 02:12:43 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 23ms | Status: 401
2025-04-09 02:13:21 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 12ms | Status: 200
2025-04-09 02:13:21 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 11ms | Status: 200
2025-04-09 02:16:49 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 81ms | Status: 200
2025-04-09 02:16:49 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 13ms | Status: 200
2025-04-09 02:25:51 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-09 02:25:52 | GET / | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-09 02:26:06 | GET /favicon.ico | Controller: Unknown | User: Anonymous | Duration: 0ms | Status: 404
2025-04-09 02:26:25 | POST /api/login | Controller: Project.Controllers.LoginController.Login (Project) | User: Anonymous | Duration: 81ms | Status: 200
2025-04-09 02:26:25 | GET /user/me | Controller: Project.Controllers.UserController.GetMyProfile (Project) | User: Anonymous | Duration: 17ms | Status: 200
